               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.033822,           0.0037798,            0.001211,             0.89866,             0.87092,             0.92551,             0.52811,            0.024097,           0.0026598,          0.00056814,             0.00898,             0.00898,             0.00898
                  36,            0.032458,           0.0037117,           0.0010858,             0.78293,             0.83351,             0.87647,             0.48918,              0.0243,           0.0026787,          0.00057416,             0.00895,             0.00895,             0.00895
                  37,             0.03245,           0.0036073,           0.0011479,             0.85581,             0.90035,             0.93746,             0.56775,            0.022116,           0.0024776,          0.00060276,             0.00892,             0.00892,             0.00892
                  38,             0.03295,            0.003542,           0.0010675,             0.86854,             0.87813,             0.94533,             0.57522,            0.023091,           0.0024264,          0.00059932,             0.00889,             0.00889,             0.00889
                  39,            0.031862,           0.0034943,           0.0010736,               0.868,             0.86717,              0.9418,             0.59494,             0.02278,           0.0024462,          0.00064178,             0.00886,             0.00886,             0.00886
                  40,            0.031695,           0.0033326,           0.0010579,              0.8853,             0.87856,             0.93871,             0.54868,            0.024653,           0.0024624,          0.00085907,             0.00883,             0.00883,             0.00883
                  41,            0.032691,           0.0033499,           0.0011169,             0.89479,              0.8913,             0.94905,             0.60402,            0.022248,           0.0024005,          0.00072088,              0.0088,              0.0088,              0.0088
                  42,            0.031555,           0.0034365,           0.0010965,             0.88404,             0.89234,             0.95254,             0.57231,            0.021787,           0.0023953,          0.00062406,             0.00877,             0.00877,             0.00877
                  43,            0.030248,           0.0031698,          0.00088475,             0.90559,             0.89189,             0.94698,             0.58638,            0.022761,           0.0022546,           0.0005432,             0.00874,             0.00874,             0.00874
                  44,            0.030834,           0.0031024,           0.0010411,              0.9192,              0.8857,             0.94611,             0.61169,            0.022784,           0.0022848,          0.00052845,             0.00871,             0.00871,             0.00871
                  45,            0.031912,           0.0032925,           0.0009813,             0.87641,             0.88013,             0.91842,             0.50958,            0.028831,           0.0023301,          0.00061768,             0.00868,             0.00868,             0.00868
                  46,            0.030779,            0.003198,          0.00099603,             0.90752,              0.9014,             0.95466,                 0.6,             0.02182,           0.0021652,          0.00049617,             0.00865,             0.00865,             0.00865
                  47,            0.030647,           0.0031338,           0.0010622,             0.92523,             0.90622,             0.95961,             0.64409,            0.020181,           0.0021644,          0.00053907,             0.00862,             0.00862,             0.00862
                  48,            0.030328,           0.0030233,          0.00089671,             0.91079,             0.94558,             0.96773,             0.60485,            0.021688,           0.0021046,          0.00049687,             0.00859,             0.00859,             0.00859
                  49,            0.030136,            0.003021,          0.00093694,             0.89068,             0.89724,             0.94832,              0.5926,            0.022314,           0.0022468,          0.00054382,             0.00856,             0.00856,             0.00856
                  50,            0.029754,           0.0031226,          0.00093292,             0.92008,             0.93426,             0.96158,             0.60315,            0.021242,           0.0021298,          0.00047228,             0.00853,             0.00853,             0.00853
                  51,             0.03004,           0.0030946,           0.0010807,             0.89325,             0.91849,             0.95413,             0.62137,            0.020197,           0.0021343,          0.00052301,              0.0085,              0.0085,              0.0085
                  52,            0.028863,           0.0028462,           0.0010361,             0.88438,             0.93103,             0.96361,             0.61765,            0.020418,            0.002068,          0.00048799,             0.00847,             0.00847,             0.00847
                  53,            0.029045,           0.0029765,          0.00098613,             0.91696,             0.92936,             0.96644,               0.624,            0.020372,           0.0021828,          0.00053529,             0.00844,             0.00844,             0.00844
                  54,            0.029404,            0.002949,           0.0010719,             0.87472,             0.91745,             0.95017,             0.62539,            0.020092,            0.002098,          0.00055336,             0.00841,             0.00841,             0.00841
                  55,            0.029237,           0.0029001,          0.00098482,             0.92491,             0.92245,             0.96137,             0.62855,            0.021175,           0.0020952,          0.00050782,             0.00838,             0.00838,             0.00838
                  56,            0.028668,           0.0029383,          0.00092162,             0.89915,             0.91632,             0.95848,             0.64713,             0.02005,           0.0021003,          0.00061433,             0.00835,             0.00835,             0.00835
                  57,            0.029175,           0.0029365,          0.00093889,             0.89964,             0.92154,             0.95093,             0.62322,            0.021259,            0.002099,          0.00064326,             0.00832,             0.00832,             0.00832
                  58,            0.029432,           0.0029584,          0.00098669,             0.90606,              0.9425,             0.95785,             0.62249,            0.019933,           0.0020435,           0.0005284,             0.00829,             0.00829,             0.00829
                  59,            0.027318,           0.0027692,          0.00097524,             0.89501,             0.90512,             0.94607,             0.58945,            0.022469,           0.0020284,          0.00053008,             0.00826,             0.00826,             0.00826
                  60,            0.028124,           0.0028895,          0.00086582,             0.94766,             0.92611,             0.97011,             0.66848,            0.019102,           0.0019852,           0.0005833,             0.00823,             0.00823,             0.00823
                  61,            0.027807,           0.0028196,          0.00096184,             0.90072,             0.91764,             0.96187,             0.65845,            0.019497,           0.0019997,          0.00046607,              0.0082,              0.0082,              0.0082
                  62,            0.027095,           0.0027177,          0.00098524,             0.93149,             0.92832,             0.96664,               0.652,            0.018021,           0.0019508,          0.00041824,             0.00817,             0.00817,             0.00817
                  63,            0.026967,           0.0028508,           0.0010197,             0.92259,             0.91937,             0.96696,             0.67125,             0.01819,           0.0019377,           0.0004595,             0.00814,             0.00814,             0.00814
                  64,            0.027289,           0.0026526,           0.0007764,             0.91949,             0.93607,              0.9666,              0.6275,            0.020141,           0.0019161,          0.00042852,             0.00811,             0.00811,             0.00811
                  65,             0.02724,           0.0027239,          0.00085289,             0.93448,             0.93183,             0.97158,             0.68511,            0.018391,           0.0019381,          0.00042723,             0.00808,             0.00808,             0.00808
                  66,            0.028236,           0.0028074,           0.0008101,             0.93147,             0.90813,             0.96598,             0.65813,            0.018753,           0.0019327,          0.00048915,             0.00805,             0.00805,             0.00805
                  67,             0.02754,           0.0026708,           0.0011288,             0.94228,             0.91385,             0.96486,             0.66775,            0.018758,           0.0019279,          0.00054994,             0.00802,             0.00802,             0.00802
                  68,            0.027324,           0.0026258,           0.0009667,              0.9257,             0.94165,               0.961,             0.62373,            0.019778,           0.0018819,          0.00046388,             0.00799,             0.00799,             0.00799
                  69,            0.027384,           0.0027852,           0.0010204,             0.94236,             0.92506,             0.97233,             0.67932,            0.019182,           0.0018908,          0.00049543,             0.00796,             0.00796,             0.00796
                  70,            0.026797,           0.0025975,           0.0010456,             0.93103,             0.93966,             0.97074,             0.66247,            0.018307,           0.0018305,          0.00044854,             0.00793,             0.00793,             0.00793
                  71,            0.027026,           0.0026197,          0.00080474,             0.94228,             0.93533,             0.97398,             0.68191,            0.018124,            0.001857,          0.00041566,              0.0079,              0.0079,              0.0079
                  72,            0.027444,           0.0027536,          0.00085364,             0.94366,             0.95105,             0.97078,              0.6835,            0.018869,           0.0018177,          0.00043723,             0.00787,             0.00787,             0.00787
                  73,            0.027112,           0.0026395,          0.00073027,             0.93612,             0.94454,             0.97413,             0.67873,            0.018524,           0.0018021,          0.00042341,             0.00784,             0.00784,             0.00784
                  74,            0.027086,           0.0026531,          0.00080863,             0.93723,             0.93879,             0.97239,             0.68453,            0.018264,           0.0018706,          0.00042987,             0.00781,             0.00781,             0.00781
