               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025813,            0.009908,           0.0012415,              0.9601,             0.93984,             0.95392,             0.67448,            0.020544,           0.0079532,          0.00046522,            0.006535,            0.006535,            0.006535
                  37,            0.025709,           0.0098185,           0.0011402,             0.96639,             0.92737,             0.95066,             0.67996,            0.020609,           0.0083313,          0.00043279,            0.006436,            0.006436,            0.006436
                  38,            0.025782,            0.009835,           0.0012255,              0.9595,             0.93512,              0.9529,             0.67109,            0.020665,           0.0081477,          0.00043196,            0.006337,            0.006337,            0.006337
                  39,            0.025428,           0.0096179,            0.001192,             0.95496,              0.9301,             0.95008,             0.68067,            0.020749,           0.0080048,          0.00043727,            0.006238,            0.006238,            0.006238
                  40,            0.025435,           0.0094431,           0.0010366,              0.9681,             0.93462,             0.95625,             0.68841,            0.020062,           0.0080754,          0.00039998,            0.006139,            0.006139,            0.006139
                  41,            0.025285,           0.0094159,           0.0010663,             0.96106,             0.93907,             0.95608,             0.67351,            0.020501,           0.0080487,          0.00043343,             0.00604,             0.00604,             0.00604
                  42,            0.025015,           0.0094648,            0.001176,             0.96492,             0.93451,             0.95556,             0.69188,            0.019972,           0.0081355,          0.00041129,            0.005941,            0.005941,            0.005941
                  43,            0.025064,           0.0093545,           0.0010614,             0.96298,             0.94158,             0.95376,             0.69123,            0.020215,           0.0086533,          0.00040937,            0.005842,            0.005842,            0.005842
                  44,            0.024703,           0.0094696,          0.00099984,             0.96813,             0.93912,             0.95641,             0.69109,            0.019878,           0.0077612,          0.00038233,            0.005743,            0.005743,            0.005743
                  45,             0.02497,           0.0093485,           0.0010552,             0.96529,             0.94324,             0.95696,             0.69689,            0.019535,           0.0083016,          0.00041515,            0.005644,            0.005644,            0.005644
                  46,            0.024583,           0.0096005,          0.00097703,             0.96583,             0.93694,             0.95679,             0.69551,            0.019709,           0.0082225,          0.00040099,            0.005545,            0.005545,            0.005545
                  47,            0.024034,            0.009099,          0.00085735,             0.96439,             0.93922,             0.95657,             0.68477,            0.019914,           0.0081642,          0.00036239,            0.005446,            0.005446,            0.005446
                  48,            0.024448,           0.0091772,          0.00094021,             0.96332,             0.93515,             0.95866,             0.70289,            0.019578,            0.007827,          0.00037216,            0.005347,            0.005347,            0.005347
                  49,             0.02405,           0.0091715,          0.00088624,             0.96319,              0.9415,             0.95776,             0.69847,            0.019393,           0.0076371,          0.00037045,            0.005248,            0.005248,            0.005248
                  50,            0.024122,           0.0090675,          0.00088549,             0.95878,             0.94357,             0.95966,              0.7055,            0.019304,           0.0077834,          0.00035669,            0.005149,            0.005149,            0.005149
                  51,            0.023747,           0.0089957,           0.0011165,             0.96046,             0.94499,             0.96085,             0.70303,            0.019366,           0.0079665,          0.00036152,             0.00505,             0.00505,             0.00505
                  52,              0.0238,           0.0090593,          0.00085163,             0.96921,             0.93867,             0.95756,             0.69866,            0.019285,           0.0077907,          0.00034451,            0.004951,            0.004951,            0.004951
                  53,            0.023498,            0.009101,           0.0010918,              0.9657,             0.94347,             0.95789,             0.69935,            0.019209,           0.0075711,          0.00039487,            0.004852,            0.004852,            0.004852
                  54,            0.023335,           0.0091311,          0.00091857,             0.96738,             0.94225,             0.96101,             0.70219,             0.01898,           0.0082199,          0.00046033,            0.004753,            0.004753,            0.004753
                  55,            0.023405,           0.0089944,          0.00087473,             0.96483,             0.94617,             0.96098,             0.70773,            0.019034,           0.0075979,          0.00042135,            0.004654,            0.004654,            0.004654
                  56,            0.023715,           0.0089023,           0.0010495,             0.96855,             0.94458,             0.95999,             0.70191,            0.019079,           0.0076627,          0.00037959,            0.004555,            0.004555,            0.004555
                  57,            0.023379,           0.0090493,          0.00089886,             0.96807,              0.9445,             0.95949,             0.71001,             0.01875,           0.0074681,          0.00033665,            0.004456,            0.004456,            0.004456
                  58,             0.02332,           0.0090337,            0.001073,             0.96808,             0.95071,              0.9625,             0.70469,            0.019015,           0.0073606,          0.00032837,            0.004357,            0.004357,            0.004357
                  59,             0.02289,           0.0089099,           0.0010522,             0.96759,             0.94863,             0.96259,             0.71102,            0.018667,            0.007391,          0.00031063,            0.004258,            0.004258,            0.004258
                  60,            0.022949,           0.0087885,          0.00088853,             0.96775,             0.95094,             0.96296,             0.71856,            0.018531,           0.0074989,          0.00033547,            0.004159,            0.004159,            0.004159
                  61,            0.022812,           0.0088964,          0.00087746,             0.96734,             0.95014,             0.96258,             0.70971,            0.018772,           0.0073578,          0.00034421,             0.00406,             0.00406,             0.00406
                  62,            0.022567,           0.0088454,          0.00085312,             0.96629,             0.94817,             0.96266,             0.71825,            0.018283,           0.0072805,          0.00031374,            0.003961,            0.003961,            0.003961
                  63,            0.022558,            0.008776,          0.00076086,             0.97044,             0.95291,             0.96391,             0.71441,            0.018379,           0.0074845,          0.00032772,            0.003862,            0.003862,            0.003862
                  64,            0.021975,           0.0087788,          0.00087206,             0.96894,             0.95001,             0.96295,             0.71525,            0.018323,           0.0072248,          0.00031704,            0.003763,            0.003763,            0.003763
                  65,            0.022321,           0.0085517,          0.00087044,             0.96831,             0.94136,             0.96082,             0.71528,            0.018429,           0.0073184,          0.00027986,            0.003664,            0.003664,            0.003664
                  66,            0.022124,           0.0086379,           0.0009105,             0.97061,             0.94814,              0.9636,              0.7201,            0.018158,           0.0072182,          0.00029748,            0.003565,            0.003565,            0.003565
                  67,             0.02247,           0.0086808,          0.00093956,             0.97124,             0.94945,             0.96368,             0.72053,            0.018247,           0.0073115,          0.00028903,            0.003466,            0.003466,            0.003466
                  68,            0.022311,           0.0086652,           0.0009762,             0.97327,             0.95055,              0.9645,             0.72153,            0.018268,           0.0072436,          0.00028062,            0.003367,            0.003367,            0.003367
                  69,            0.022134,           0.0087724,           0.0008039,             0.97088,             0.95214,             0.96478,              0.7294,            0.017786,           0.0071265,          0.00026179,            0.003268,            0.003268,            0.003268
